09-25 13:25:51.087 I/Sentry  ( 6695): ALERT[replay] 11:54:08 PDT ADVISORY TRAFFIC/DOWNGRADE sound=- banner=SILENT: ● PASSING · N388KM · NE 1.2 mi · 163 kt · 200 above, climbing · Diverging · closest was 1,200 ft S=0.61
09-25 13:26:37.113 I/Sentry  ( 6695): ALERT[replay] 11:54:54 PDT NONE CLEAR/OTHER sound=- banner=CANCEL: ○ CLEAR · N388KM · Outside 3.0 mi ·  S=0.61
09-25 13:27:14.132 I/Sentry  ( 6695): REPLAY finished
09-25 13:27:22.140 I/Sentry  ( 6695): Service destroyed (mode=OFF)
09-25 13:33:47.666 I/Sentry  ( 6695): Service created
09-25 13:33:47.770 I/Sentry  ( 6695): REPLAY start: Demo encounter: DEMO-1 vs N388KM (SYNTHETIC crossing variant) at 1.0x
09-25 13:33:47.773 I/Sentry  ( 6695): ALERT[replay] 11:51:50 PDT INFO SELECTION/OTHER sound=bound/full banner=POPUP: Watching DEMO-1 Pilot, this controller's aircraft.
09-25 13:33:47.779 I/Sentry  ( 6695): Controller GPS listening
09-25 13:33:47.829 I/Sentry  ( 6695): SOUND bound/full level_default
09-25 13:34:11.789 I/Sentry  ( 6695): ALERT[replay] 11:52:14 PDT TRACK ALERT TRAFFIC/ESCALATION sound=track/full banner=POPUP: ▲ TRACK · N388KM Cirrus · SW 3.9 mi · 163 kt · 700 below, climbing · Passing within 1.0 mi in 1 min 19 s · Clear: move NW ↑ S=11.84
09-25 13:34:11.818 I/Sentry  ( 6695): SOUND track/full level_default · alert latency 0.1 s (TRACK ALERT a479ef)
09-25 13:34:41.806 I/Sentry  ( 6695): ALERT[replay] 11:52:44 PDT TRACK ALERT TRAFFIC/UPDATE sound=- banner=SILENT: ▲ TRACK · N388KM Cirrus · SW 2.5 mi · 160 kt · 500 below, climbing · Passing within 0.9 mi in 50 s · Clear: move NW ↑ S=7.71
09-25 13:34:54.813 I/Sentry  ( 6695): ALERT[replay] 11:52:57 PDT COLLISION RISK TRAFFIC/ESCALATION sound=collision/full banner=POPUP: ‼ COLLISION RISK · N388KM · SW 1.9 mi · 155 kt · 400 below, climbing · 400 below, climbing through your altitude · 43 s · Clear: move NW ↑ S=5.92
09-25 13:34:54.843 I/Sentry  ( 6695): SOUND collision/full level_default · alert latency 0.5 s (COLLISION RISK a479ef)
09-25 13:34:57.814 I/Sentry  ( 6695): ALERT[replay] 11:53:00 PDT COLLISION RISK TRAFFIC/REPEAT sound=collision/full banner=SILENT: ‼ COLLISION RISK · N388KM · SW 1.8 mi · 155 kt · 400 below, climbing · Closest 2,600 ft in 37 s, 100 below · Clear: move NW ↑ S=5.54
09-25 13:34:57.835 I/Sentry  ( 6695): SOUND collision/full level_default
09-25 13:35:00.817 I/Sentry  ( 6695): ALERT[replay] 11:53:03 PDT COLLISION RISK TRAFFIC/REPEAT sound=collision/full banner=SILENT: ‼ COLLISION RISK · N388KM · SW 1.6 mi · 156 kt · 300 below, climbing · Closest 1,700 ft in 29 s, 100 below · Clear: move NW ↑ S=4.94
09-25 13:35:00.849 I/Sentry  ( 6695): SOUND collision/full level_default
09-25 13:35:03.821 I/Sentry  ( 6695): ALERT[replay] 11:53:06 PDT COLLISION RISK TRAFFIC/REPEAT sound=collision/full banner=SILENT: ‼ COLLISION RISK · N388KM · SW 1.5 mi · 157 kt · 300 below, climbing · 300 below, climbing through your altitude · 34 s · Clear: move SE ↑ S=4.61
09-25 13:35:03.841 I/Sentry  ( 6695): SOUND collision/full level_default
09-25 13:35:06.822 I/Sentry  ( 6695): ALERT[replay] 11:53:09 PDT COLLISION RISK TRAFFIC/REPEAT sound=collision/full banner=SILENT: ‼ COLLISION RISK · N388KM · SW 1.4 mi · 157 kt · 300 below, climbing · 300 below, climbing through your altitude · 31 s · Clear: move NW ↑ S=4.24
09-25 13:35:06.845 I/Sentry  ( 6695): SOUND collision/full level_default
09-25 13:35:09.826 I/Sentry  ( 6695): ALERT[replay] 11:53:12 PDT COLLISION RISK TRAFFIC/REPEAT sound=collision/full banner=SILENT: ‼ COLLISION RISK · N388KM · SW 1.3 mi · 157 kt · 300 below, climbing · 300 below, climbing through your altitude · 31 s · Clear: move NW ↑ S=3.92
09-25 13:35:09.842 I/Sentry  ( 6695): SOUND collision/full level_default
